hour_from_monday,outlet_temp_C,flow_exergy_to_factory_kW,useful_exergy_primary_kW,useful_exergy_fallback_kW,soc,target_soc
0.5,278.89773295909123,2249.453977456702,2249.453977456702,2249.453977456702,0.7847555977975594,0.8
1.0,278.6195537507135,2243.456454595777,2243.456454595777,2243.456454595777,0.7677654311069135,0.8
1.5,278.3010892774778,2236.5979495840056,2236.5979495840056,2236.5979495840056,0.7508112734294264,0.8
2.0,277.936278608393,2228.751251312474,2228.751251312474,2228.751251312474,0.7338994516452364,0.8
2.5,277.5190959448482,2219.791080033206,2219.791080033206,2219.791080033206,0.7170368263701697,0.8
3.0,277.0436456454207,2209.596355852128,2209.596355852128,2209.596355852128,0.7002308043942984,0.8
3.5,276.5042527462501,2198.0523733957443,2198.0523733957443,2198.0523733957443,0.6834893365004773,0.8
4.0,275.89554524066835,2185.052792895691,2185.052792895691,2185.052792895691,0.6668209017658366,0.8
4.5,275.2125312527623,2170.501504206213,2170.501504206213,2170.501504206213,0.6502344797507926,0.8
5.0,274.45066463576705,2154.314214477939,2154.314214477939,2154.314214477939,0.6337395124273728,0.8
5.5,273.6059026028684,2136.419826250132,2136.419826250132,2136.419826250132,0.6173458570885384,0.8
6.0,272.6747551315595,2116.761590242998,2116.761590242998,2116.761590242998,0.6010637318929927,0.8
6.5,271.65432151763076,2095.297926680659,2095.297926680659,2095.297926680659,0.5849036551615705,0.8
7.0,270.54231948383875,2072.0030234512296,2072.0030234512296,2072.0030234512296,0.568876380228478,0.8
7.5,269.337104689743,2046.867160896633,2046.867160896633,2046.867160896633,0.5529928268730492,0.8
8.0,268.0376797792317,2019.8967437025976,2019.8967437025976,2019.8967437025976,0.5372640105516235,0.8
0.5,278.998673226036,2251.631765463125,2251.631765463125,2251.631765463125,0.8044780315759267,0.85
1.0,278.77730265193065,2246.8448389995187,2246.8448389995187,2246.8448389995187,0.7874688279384088,0.85
1.5,278.52473832312364,2241.413649092073,2241.413649092073,2241.413649092073,0.7704872191136508,0.85
2.0,278.23462803299185,2235.1667823512526,2235.1667823512526,2235.1667823512526,0.753538647573218,0.85
2.5,277.9005291927202,2227.982888867854,2227.982888867854,2227.982888867854,0.7366291141095871,0.85
3.0,277.516017348822,2219.7250100647716,2219.7250100647716,2219.7250100647716,0.7197652076182774,0.85
3.5,277.07478888919064,2210.2635856946995,2210.2635856946995,2210.2635856946995,0.7029541172684131,0.85
4.0,276.5707608283305,2199.4745128940976,2199.4745128940976,2199.4745128940976,0.686203629338739,0.85
4.5,275.99815887946966,2187.2421429594206,2187.2421429594206,2187.2421429594206,0.6695221100254591,0.85
5.0,275.3516001664849,2173.4612840100463,2173.4612840100463,2173.4612840100463,0.6529184754941735,0.85
5.5,274.6261650910349,2158.038945329182,2158.038945329182,2158.038945329182,0.6364021512476382,0.85
6.0,273.81745868887634,2140.8958191221363,2140.8958191221363,2140.8958191221363,0.6199830221190603,0.85
6.5,272.9216627297715,2121.967515465263,2121.967515465263,2121.967515465263,0.6036713743811215,0.85
7.0,271.9355761428841,2101.205489633601,2101.205489633601,2101.205489633601,0.5874778315899912,0.85
7.5,270.85664544505727,2078.5776900780384,2078.5776900780384,2078.5776900780384,0.5714132857551957,0.85
8.0,269.6829854477722,2054.0689275620975,2054.0689275620975,2054.0689275620975,0.5554888249202588,0.85
0.5,278.998673226036,2251.631765463125,2251.631765463125,2251.631765463125,0.8044780315759267,0.9
1.0,278.77730265193065,2246.8448389995187,2246.8448389995187,2246.8448389995187,0.7874688279384088,0.9
1.5,278.52473832312364,2241.413649092073,2241.413649092073,2241.413649092073,0.7704872191136508,0.9
2.0,278.23462803299185,2235.1667823512526,2235.1667823512526,2235.1667823512526,0.753538647573218,0.9
2.5,277.9005291927202,2227.982888867854,2227.982888867854,2227.982888867854,0.7366291141095871,0.9
3.0,277.516017348822,2219.7250100647716,2219.7250100647716,2219.7250100647716,0.7197652076182774,0.9
3.5,277.07478888919064,2210.2635856946995,2210.2635856946995,2210.2635856946995,0.7029541172684131,0.9
4.0,276.5707608283305,2199.4745128940976,2199.4745128940976,2199.4745128940976,0.686203629338739,0.9
4.5,275.99815887946966,2187.2421429594206,2187.2421429594206,2187.2421429594206,0.6695221100254591,0.9
5.0,275.3516001664849,2173.4612840100463,2173.4612840100463,2173.4612840100463,0.6529184754941735,0.9
5.5,274.6261650910349,2158.038945329182,2158.038945329182,2158.038945329182,0.6364021512476382,0.9
6.0,273.81745868887634,2140.8958191221363,2140.8958191221363,2140.8958191221363,0.6199830221190603,0.9
6.5,272.9216627297715,2121.967515465263,2121.967515465263,2121.967515465263,0.6036713743811215,0.9
7.0,271.9355761428841,2101.205489633601,2101.205489633601,2101.205489633601,0.5874778315899912,0.9
7.5,270.85664544505727,2078.5776900780384,2078.5776900780384,2078.5776900780384,0.5714132857551957,0.9
8.0,269.6829854477722,2054.0689275620975,2054.0689275620975,2054.0689275620975,0.5554888249202588,0.9
