target_soc,soc_achieved,reached_target,charge_hours_to_target,charge_input_energy_MWh,exergy_inventory_start_MWh,monday_useful_ex_primary_MWh,monday_useful_ex_fallback_MWh,monday_hot_duration_h,monday_fallback_duration_h,exergy_eff_primary,exergy_eff_fallback
0.3,0.34639391747174686,True,2.0,3.5304652438817734,2.121849602796451,0.0,0.13807561469056392,0.0,0.5,0.0,0.06507323351692307
0.35,0.40913424222982575,True,2.5,4.1559506772772234,2.3604142453655843,0.0,0.3119906157807877,0.0,1.0,0.0,0.13217621288015322
0.4,0.40913424222982575,True,2.5,4.1559506772772234,2.3604142453655843,0.0,0.3119906157807877,0.0,1.0,0.0,0.13217621288015322
0.45,0.46394547709128664,True,3.0,4.702666357025617,2.576426385045277,0.0,0.5047390843265365,0.0,1.5,0.0,0.19590665864014833
0.5,0.5117957153653296,True,3.5,5.180277208929247,2.7705481437703248,0.0,0.7039696639487139,0.0,2.0,0.0,0.2540903920156069
0.55,0.5535405865420568,True,4.0,5.597317113854097,2.943968636861059,0.0,0.7715399278433548,0.0,2.0,0.0,0.26207477830538034
0.6,0.6216457271564704,True,5.0,6.278890017061906,3.2347246798130542,0.27505759580840844,1.0319748386194156,0.5,2.5,0.08503276879326402,0.3190301929124481
0.65,0.6732879700969796,True,6.0,6.7974198241130175,3.4614243219252407,0.3024229614886229,1.272482891283571,0.5,3.0,0.08736951421211935,0.36761829031576726
0.7,0.7123575688040088,True,7.0,7.191566903899061,3.636372017012124,0.5994751862011797,1.3593919387682678,1.0,3.0,0.16485529626689485,0.37383192159894335
0.75,0.7537521195995165,True,8.5,7.612716652768154,3.8248617867350596,0.6409708751895621,1.588681192897885,1.0,3.5,0.16758014038899463,0.415356496908611
0.8,0.8027405469142407,True,12.0,8.125735584586055,4.0519222877556,0.961884747438327,1.7100507282449449,1.5,3.5,0.2373897323611121,0.42203443373346605
0.85,0.8303064182837915,False,72.0,8.928935030979085,4.181317282335018,1.0004322295669708,1.909306609912953,1.5,4.0,0.239262452957956,0.45662801480750537
0.9,0.8303064182837915,False,72.0,8.928935030979085,4.181317282335018,1.0004322295669708,1.909306609912953,1.5,4.0,0.239262452957956,0.45662801480750537
